
CommandType     Name                                               Version
Function        Enable-NetFirewallRule                             2.0.0.0 
Function        Enable-NetIPHttpsProfile                           1.0.0.0 
Function        Enable-NetIPsecMainModeRule                        2.0.0.0 
Function        Enable-NetIPsecRule                                2.0.0.0 
Function        Enable-NetNatTransitionConfiguration               1.0.0.0 
Function        Enable-NetworkSwitchEthernetPort                   1.0.0.0 
Function        Enable-NetworkSwitchFeature                        1.0.0.0 
Function        Enable-NetworkSwitchVlan                           1.0.0.0 
Function        Enable-OdbcPerfCounter                             1.0.0.0 
Function        Enable-PhysicalDiskIdentification                  2.0.0.0 
Function        Enable-PnpDevice                                   1.0.0.0 
Function        Enable-PSTrace                                     7.0.0.0 
Function        Enable-PSTrace                                     1.0.0.0 
Function        Enable-PSWSManCombinedTrace                        7.0.0.0 
Function        Enable-PSWSManCombinedTrace                        1.0.0.0 
Function        Enable-ScheduledTask                               1.0.0.0 
Function        Enable-SmbDelegation                               2.0.0.0 
Function        Enable-StorageBusCache                             1.0.0.0 
Function        Enable-StorageBusDisk                              1.0.0.0 
Function        Enable-StorageDataCollection                       2.0.0.0 
Function        Enable-StorageEnclosureIdentification              2.0.0.0 
Function        Enable-StorageEnclosurePower                       2.0.0.0 
Function        Enable-StorageHighAvailability                     2.0.0.0 
Function        Enable-StorageMaintenanceMode                      2.0.0.0 
Function        Enable-WdacBidTrace                                1.0.0.0 
Function        Enable-WSManTrace                                  7.0.0.0 
Function        Enable-WSManTrace                                  1.0.0.0 
Function        Expand-Archive                                     1.2.5   
Function        Expand-Archive                                     1.0.1.0 
Function        Export-BCCachePackage                              1.0.0.0 
Function        Export-BCSecretKey                                 1.0.0.0 
Function        Export-HgsGuardian                                 1.0.0.0 
Function        Export-ODataEndpointProxy                          1.0     
Function        Export-ScheduledTask                               1.0.0.0 
Function        Export-WinhttpProxy                                1.0.0.0 
Function        F:                                                         
Function        Find-Ast                                           0.2.0   
Function        Find-Command                                       2.2.5   
Function        Find-Command                                       1.0.0.1 
Function        Find-DSCResource                                   2.2.5   
Function        Find-DscResource                                   1.0.0.1 
Function        Find-Module                                        2.2.5   
Function        Find-Module                                        1.0.0.1 
Function        Find-NetIPsecRule                                  2.0.0.0 
Function        Find-NetRoute                                      1.0.0.0 
Function        Find-RoleCapability                                2.2.5   
Function        Find-RoleCapability                                1.0.0.1 
Function        Find-Script                                        2.2.5   
Function        Find-Script                                        1.0.0.1 
Function        Flush-EtwTraceSession                              1.0.0.0 
Function        Format-Volume                                      2.0.0.0 
Function        G:                                                         
Function        Get-AppBackgroundTask                              1.0.0.0 
Function        Get-AppvVirtualProcess                             1.0.0.0 
Function        Get-AppxLastError                                  2.0.1.0 
Function        Get-AppxLog                                        2.0.1.0 
Function        Get-AssignedAccess                                 1.0.0.0 
Function        Get-AutologgerConfig                               1.0.0.0 
Function        Get-BCClientConfiguration                          1.0.0.0 
Function        Get-BCContentServerConfiguration                   1.0.0.0 
Function        Get-BCDataCache                                    1.0.0.0 
Function        Get-BCDataCacheExtension                           1.0.0.0 
Function        Get-BCHashCache                                    1.0.0.0 
Function        Get-BCHostedCacheServerConfiguration               1.0.0.0 
Function        Get-BCNetworkConfiguration                         1.0.0.0 
Function        Get-BCStatus                                       1.0.0.0 
Function        Get-BitLockerVolume                                1.0.0.0 
Function        Get-ClusteredScheduledTask                         1.0.0.0 
Function        Get-CredsFromCredentialProvider                    2.2.5   
Function        Get-DAClientExperienceConfiguration                1.0.0.0 
Function        Get-DAConnectionStatus                             1.0.0.0 
Function        Get-DAEntryPointTableItem                          1.0.0.0 
Function        Get-DedupProperties                                2.0.0.0 
Function        Get-DeliveryOptimizationPerfSnap                   1.0.3.0 
Function        Get-DeliveryOptimizationPerfSnapThisMonth          1.0.3.0 
Function        Get-DeliveryOptimizationStatus                     1.0.3.0 
Function        Get-Disk                                           2.0.0.0 
Function        Get-DiskImage                                      2.0.0.0 
Function        Get-DiskStorageNodeView                            2.0.0.0 
Function        Get-DnsClient                                      1.0.0.0 
Function        Get-DnsClientCache                                 1.0.0.0 
Function        Get-DnsClientDohServerAddress                      1.0.0.0 
Function        Get-DnsClientGlobalSetting                         1.0.0.0 
Function        Get-DnsClientNrptGlobal                            1.0.0.0 
Function        Get-DnsClientNrptPolicy                            1.0.0.0 
Function        Get-DnsClientNrptRule                              1.0.0.0 
Function        Get-DnsClientServerAddress                         1.0.0.0 
Function        Get-DOConfig                                       1.0.3.0 
Function        Get-DODownloadMode                                 1.0.3.0 
Function        Get-DOPercentageMaxBackgroundBandwidth             1.0.3.0 
Function        Get-DOPercentageMaxForegroundBandwidth             1.0.3.0 
Function        Get-DscConfiguration                               1.1     
Function        Get-DscConfigurationStatus                         1.1     
Function        Get-DscLocalConfigurationManager                   1.1     
Function        Get-DscResource                                    1.1     
Function        Get-Dtc                                            1.0.0.0 
Function        Get-DtcAdvancedHostSetting                         1.0.0.0 
Function        Get-DtcAdvancedSetting                             1.0.0.0 
Function        Get-DtcClusterDefault                              1.0.0.0 
Function        Get-DtcClusterTMMapping                            1.0.0.0 
Function        Get-DtcDefault                                     1.0.0.0 
Function        Get-DtcLog                                         1.0.0.0 
Function        Get-DtcNetworkSetting                              1.0.0.0 
Function        Get-DtcTransaction                                 1.0.0.0 
Function        Get-DtcTransactionsStatistics                      1.0.0.0 
Function        Get-DtcTransactionsTraceSession                    1.0.0.0 
Function        Get-DtcTransactionsTraceSetting                    1.0.0.0 
Function        Get-EtwTraceProvider                               1.0.0.0 
Function        Get-EtwTraceSession                                1.0.0.0 
Function        Get-FileIntegrity                                  2.0.0.0 
Function        Get-FileShare                                      2.0.0.0 
Function        Get-FileShareAccessControlEntry                    2.0.0.0 
Function        Get-FileStorageTier                                2.0.0.0 
Function        Get-HgsClientConfiguration                         1.0.0.0 
Function        Get-HgsClientHostKey                               1.0.0.0 
Function        Get-HgsGuardian                                    1.0.0.0 
Function        Get-HnsEndpoint                                    1.0.0.1 
Function        Get-HnsEndpointAddresses                           1.0.0.1 
Function        Get-HnsEndpointStats                               1.0.0.1 
Function        Get-HnsNamespace                                   1.0.0.1 
Function        Get-HnsNetwork                                     1.0.0.1 
Function        Get-HnsPolicyList                                  1.0.0.1 
Function        Get-InitiatorId                                    2.0.0.0 
Function        Get-InitiatorPort                                  2.0.0.0 
Function        Get-InstalledModule                                2.2.5   
Function        Get-InstalledModule                                1.0.0.1 
Function        Get-InstalledScript                                2.2.5   
Function        Get-InstalledScript                                1.0.0.1 
Function        Get-IscsiConnection                                1.0.0.0 
Function        Get-IscsiSession                                   1.0.0.0 
Function        Get-IscsiTarget                                    1.0.0.0 
Function        Get-IscsiTargetPortal                              1.0.0.0 
Function        Get-IseSnippet                                     1.0.0.0 
Function        Get-LapsAADPassword                                1.0.0.0 
Function        Get-LapsDiagnostics                                1.0.0.0 
Function        Get-LogProperties                                  7.0.0.0 
Function        Get-LogProperties                                  1.0.0.0 
Function        Get-MaskingSet                                     2.0.0.0 
Function        Get-MMAgent                                        1.0     
Function        Get-MockDynamicParameters                          3.4.0   
Function        Get-MpBehavioralNetworkBlockingRules               1.0     
Function        Get-MpComputerStatus                               1.0     
Function        Get-MpComputerStatus                               1.0     
Function        Get-MpPerformanceReport                            1.0     
Function        Get-MpPerformanceReport                            1.0     
Function        Get-MpPreference                                   1.0     
Function        Get-MpPreference                                   1.0     
Function        Get-MpThreat                                       1.0     
Function        Get-MpThreat                                       1.0     
Function        Get-MpThreatCatalog                                1.0     
Function        Get-MpThreatCatalog                                1.0     
Function        Get-MpThreatDetection                              1.0     
Function        Get-MpThreatDetection                              1.0     
Function        Get-NCSIPolicyConfiguration                        1.0.0.0 
Function        Get-Net6to4Configuration                           1.0.0.0 
Function        Get-NetAdapter                                     2.0.0.0 
Function        Get-NetAdapterAdvancedProperty                     2.0.0.0 
Function        Get-NetAdapterBinding                              2.0.0.0 
Function        Get-NetAdapterChecksumOffload                      2.0.0.0 
Function        Get-NetAdapterDataPathConfiguration                2.0.0.0 
Function        Get-NetAdapterEncapsulatedPacketTaskOffload        2.0.0.0 
